word,trans,exp,level,memory,modify,pron,filelink
"a","avoirの直・現・3・単","",0,0,0,""
"A bas les pattes !","(犬に向かって)おすわり!","",0,0,0,""
"A bas ~ !","～を倒せ!,～反対!","A bas la guerre !",0,0,0,""
"A la porte !","出て行け!","",0,0,0,""
"a priori","先験的に,先験的な,先入観","",0,0,0,""
"A table !","ご飯ですよ!","",0,0,0,""
"A.O.C.","原産地統制呼称","appellation d'origine contrôlée",0,0,0,""
"abaissement","下げること,低下,引き下げ","",0,0,0,""
"abaisser","下げる,おろす,低くする,(s')下りる,下がる,誇り・知力・品位を失う,へりくだる","Il y a deux manières d'être riche : élever son revenu au niveau de ses désirs, abaisser ses désirs au niveau de son revenu.",0,0,0,""
"abandon","見捨てること,放棄,遺棄,ギブアップ","",0,0,0,""
"abandon de cr饌nce","債権の放棄","",0,0,0,""
"abandonn","遺棄された,見捨てられた","",0,0,0,""
"abandonner","見捨てる,放棄する,断念する","",0,0,0,""
"abasourdir","耳を聾する,肝をつぶさせる","",0,0,0,""
"abasourdissant","耳を聾する,茫然とさせる","",0,0,0,""
"abat-jour","シェード","",0,0,0,""
"abats","【料理】臓物","",0,0,0,""
"abattage","伐採,取り壊し,屠殺","",0,0,0,""
"abattant","上げ蓋","",0,0,0,""
"abattement","衰弱,意気消沈,割引,控除","",0,0,0,""
"abattement la base","基礎控除","",0,0,0,""
"abattis","家禽の臓物","",0,0,0,""
"abattoir","屠殺場","",0,0,0,""
"abattre","倒す,取り壊す,屠殺する,射殺する,打ちのめす,ぐったりさせる,(s')倒れる","",0,0,0,""
"abattu","衰弱した,意気消沈した","",0,0,0,""
"abb","神父,大修道院長","",0,0,0,""
"abbaye","大修道院","",0,0,0,"abei"
"abc","初歩","",0,0,0,""
"abc鑚","はれもの,膿瘍","",0,0,0,""
"abc馘er","膿瘍を形成する,化膿する","",0,0,0,""
"abdication","退位,譲位,放棄","",0,0,0,""
"abdiquer","退位する,譲位する,放棄する","",0,0,0,""
"abdomen","腹部","",0,0,0,""
"abdominal","腹部の","",0,0,0,""
"abdominaux","腹筋","",0,0,0,""
"abeille","蜜蜂","",0,0,0,""
"aberrant","常軌を逸した","",0,0,0,""
"aberration","常軌の逸脱,錯乱,収差","",0,0,0,""
"abhorrer","忌み嫌う","",0,0,0,""
"abject","下劣な","",0,0,0,""
"abjection","おぞましさ","",0,0,0,""
"abjuration","宣誓して捨てること","",0,0,0,""
"abjurer","宣誓して捨てる","",0,0,0,""
"ablatif","奪格","",0,0,0,""
"ablation","切除","",0,0,0,""
"ablution","垢離,禊ぎ","",0,0,0,""
"ablutions de table","【料理】フィンガーボール","",0,0,0,""
"abn馮ation","自己犠牲,献身","",0,0,0,""
"aboiement","吠え声","",0,0,0,""
"abolir","廃止する","",0,0,0,""
